0  0  3.457310E-03 
0  1  7.147799E-03 
0  2  1.223259E-02 
0  3  1.604965E-02 
0  4  1.781899E-02 
0  5  1.834042E-02 
0  6  1.844759E-02 
0  7  1.846105E-02 
0  8  1.843071E-02 
0  9  1.850949E-02 
0 10  1.866635E-02 
0 11  1.904365E-02 
0 12  1.987012E-02 
0 13  2.127140E-02 
0 14  2.368462E-02 
0 15  2.717658E-02 
0 16  2.778869E-02 
0 17  1.142946E-02 
0 18  3.649573E-03 
0 19  6.430644E-03 
0 20  1.135206E-02 
1  0  1.552791E-03 
1  1  2.671365E-03 
1  2  5.814102E-03 
1  3  1.160008E-02 
1  4  1.759358E-02 
1  5  2.101560E-02 
1  6  2.220931E-02 
1  7  2.249867E-02 
1  8  2.254726E-02 
1  9  2.260158E-02 
1 10  2.281246E-02 
1 11  2.327018E-02 
1 12  2.432148E-02 
1 13  2.619080E-02 
1 14  2.952890E-02 
1 15  3.379203E-02 
1 16  2.985009E-02 
1 17  6.963627E-03 
1 18  6.758368E-03 
1 19  1.201478E-02 
1 20  2.131264E-02 
2  0  1.253270E-03 
2  1  1.415894E-03 
2  2  2.172201E-03 
2  3  4.680683E-03 
2  4  1.042614E-02 
2  5  1.827764E-02 
2  6  2.396352E-02 
2  7  2.630200E-02 
2  8  2.690534E-02 
2  9  2.709805E-02 
2 10  2.732712E-02 
2 11  2.792474E-02 
2 12  2.925273E-02 
2 13  3.167740E-02 
2 14  3.591888E-02 
2 15  4.021604E-02 
2 16  2.776335E-02 
2 17  7.125052E-03 
2 18  1.221588E-02 
2 19  2.192401E-02 
2 20  3.913046E-02 
3  0  1.238864E-03 
3  1  1.259909E-03 
3  2  1.354077E-03 
3  3  1.870080E-03 
3  4  3.839322E-03 
3  5  9.122374E-03 
3  6  1.813173E-02 
3  7  2.637509E-02 
3  8  3.038896E-02 
3  9  3.154796E-02 
3 10  3.203738E-02 
3 11  3.288328E-02 
3 12  3.455624E-02 
3 13  3.770667E-02 
3 14  4.289405E-02 
3 15  4.547373E-02 
3 16  2.215694E-02 
3 17  1.163038E-02 
3 18  2.146346E-02 
3 19  3.900897E-02 
3 20  7.019061E-02 
4  0  1.248732E-03 
4  1  1.251947E-03 
4  2  1.259659E-03 
4  3  1.334404E-03 
4  4  1.704094E-03 
4  5  3.251800E-03 
4  6  7.973321E-03 
4  7  1.748691E-02 
4  8  2.813845E-02 
4  9  3.413433E-02 
4 10  3.628199E-02 
4 11  3.764692E-02 
4 12  3.990360E-02 
4 13  4.411596E-02 
4 14  5.009112E-02 
4 15  4.838932E-02 
4 16  1.725508E-02 
4 17  1.943495E-02 
4 18  3.660359E-02 
4 19  6.755390E-02 
4 20  1.228178E-01 
5  0  1.249647E-03 
5  1  1.251505E-03 
5  2  1.252165E-03 
5  3  1.264812E-03 
5  4  1.322455E-03 
5  5  1.602353E-03 
5  6  2.874493E-03 
5  7  7.134438E-03 
5  8  1.685058E-02 
5  9  2.946417E-02 
5 10  3.768794E-02 
5 11  4.135892E-02 
5 12  4.480455E-02 
5 13  5.034019E-02 
5 14  5.702828E-02 
5 15  4.778350E-02 
5 16  1.813090E-02 
5 17  3.171963E-02 
5 18  6.064954E-02 
5 19  1.137414E-01 
5 20  2.093788E-01 
6  0  1.233898E-03 
6  1  1.245201E-03 
6  2  1.243011E-03 
6  3  1.249370E-03 
6  4  1.264400E-03 
6  5  1.317097E-03 
6  6  1.568115E-03 
6  7  2.668804E-03 
6  8  6.619364E-03 
6  9  1.644866E-02 
6 10  3.071097E-02 
6 11  4.136256E-02 
6 12  4.799894E-02 
6 13  5.555596E-02 
6 14  6.254887E-02 
6 15  4.379464E-02 
6 16  2.653826E-02 
6 17  5.092348E-02 
6 18  9.801721E-02 
6 19  1.862362E-01 
6 20  3.473530E-01 
7  0  1.138285E-03 
7  1  1.212984E-03 
7  2  1.229866E-03 
7  3  1.248999E-03 
7  4  1.263054E-03 
7  5  1.284361E-03 
7  6  1.349404E-03 
7  7  1.602900E-03 
7  8  2.678254E-03 
7  9  6.570160E-03 
7 10  1.684590E-02 
7 11  3.295294E-02 
7 12  4.689088E-02 
7 13  5.847061E-02 
7 14  6.556952E-02 
7 15  3.970572E-02 
7 16  4.166666E-02 
7 17  8.059405E-02 
7 18  1.552702E-01 
7 19  2.971410E-01 
7 20  5.605299E-01 
8  0  7.723231E-04 
8  1  1.011425E-03 
8  2  1.145508E-03 
8  3  1.211635E-03 
8  4  1.238471E-03 
8  5  1.260436E-03 
8  6  1.312676E-03 
8  7  1.413930E-03 
8  8  1.753577E-03 
8  9  2.989048E-03 
8 10  7.283066E-03 
8 11  1.876044E-02 
8 12  3.789258E-02 
8 13  5.691312E-02 
8 14  6.552298E-02 
8 15  4.027100E-02 
8 16  6.375487E-02 
8 17  1.249582E-01 
8 18  2.415370E-01 
8 19  4.636054E-01 
8 20  8.812141E-01 
9  0  2.841777E-04 
9  1  5.640792E-04 
9  2  8.615018E-04 
9  3  1.075642E-03 
9  4  1.191881E-03 
9  5  1.264157E-03 
9  6  1.330747E-03 
9  7  1.439065E-03 
9  8  1.669737E-03 
9  9  2.293053E-03 
9 10  4.179785E-03 
9 11  1.005987E-02 
9 12  2.509855E-02 
9 13  4.942889E-02 
9 14  6.280026E-02 
9 15  4.775464E-02 
9 16  9.338651E-02 
9 17  1.877989E-01 
9 18  3.672429E-01 
9 19  7.078412E-01 
9 20  1.351605E+00 
10  0  6.064107E-05 
10  1  1.663123E-04 
10  2  3.839865E-04 
10  3  6.921240E-04 
10  4  9.818241E-04 
10  5  1.185128E-03 
10  6  1.336875E-03 
10  7  1.505909E-03 
